" The customer does not exist in the system anymore."," 더이상 시스템에 고객이 존재하지 않습니다."
" [deleted]"," [삭제완료]"
" and "," 그리고 "
"%s (Default Template from Locale)","%s (지역별 기본 템플릿)"
"%s cache type(s) disabled.","%s 캐시 비활성화."
"%s cache type(s) enabled.","%s 캐시 활성화."
"%s cache type(s) refreshed.","%s 캐시 새로고침."
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(영어 두 글자로 이름을 지정)"
"(If left empty will be auto-generated)","(공란으로 남겨두면, 자동으로 생성 될 것입니다.)"
"(Leave empty for first spreadsheet)","(첫 번째 스프레드 시트는 비워둡니다.)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"(Starting with)","(Starting with)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(You have to increase php memory_limit before changing this value)"
"(\\t for tab)","(\\t for tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - If indexing is in progress, it will be killed and new indexing process will start."
"* Required Fields","* 필수 입력"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"-- Not Selected --","-- 선택안함 --"
"-- Please Select --","-- 선택해주세요 --"
"-- Please Select Billing Agreement--","-- 결제방법을 선택해주세요 --"
"-- Please Select a Category --","-- 카테고리를 선택하세요 --"
"-- Please select --","-- 선택해주세요 --"
"--Please Select--","--선택해주세요--"
"1 Hour","1시간"
"12 Hours","12시간"
"12h AM/PM","12시 오전/오후"
"2 Hours","2시간"
"24 Hours","24시간"
"24h","24시"
"2YTD","2YTD"
"6 Hours","6시간"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 에러</h1><p>페이지를 찾을 수 없습니다.</p>"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> requests access to your account"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>주의</strong>: 보안 문자(Captcha)는 대소 문자를 구분합니다."
"A user with the same user name or email aleady exists.","동일한 이름 또는 이메일 주소를 가진 사용자가 이미 존재합니다."
"API Key","API 키"
"API Key Confirmation","API 키 확인"
"ASCII","아스키(ASCII)"
"Abandoned Carts","Abandoned Carts"
"About the calendar","About the calendar"
"Access Denied","접근 불가"
"Access denied","접근 불가"
"Access denied.","접근 불가."
"Account Created in:","Account Created in:"
"Account Created on (%s):","Account Created on (%s):"
"Account Created on:","Account Created on:"
"Account Information","Account Information"
"Account Status","계정 상태"
"Account status","계정 상태"
"Action","동작"
"Actions","동작"
"Actions XML","Actions XML"
"Active","활성"
"Add","추가"
"Add Exception","예외 추가"
"Add Field Mapping","Add Field Mapping"
"Add Field with URL:","Add Field with URL:"
"Add New","신규 추가"
"Add New Image","신규 이미지 추가"
"Add New Profile","신규 프로파일 추가"
"Add New Role","신규 역할 추가"
"Add New Template","신규 템플릿 추가"
