"%1$s incl tax.","%1$s incl tax."
"* Required Fields","* 필수 입력"
"-- Select --","-- 선택 --"
"Add New Option","신규 옵션 추가"
"Add Selection","선택 추가"
"As Low as","As Low as"
"As low as","As low as"
"Bundle Items","번들 품목"
"Bundle Product","번들 상품"
"Bundle Product View Summary","번들 상품 요약 보기"
"Buy %1$s","Buy %1$s"
"Buy %1$s for","Buy %1$s for"
"Buy %1$s for %2$s","Buy %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Buy %1$s for %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Buy %1$s for %2$s each"
"Buy %1$s with %2$s discount each","Buy %1$s with %2$s discount each"
"Catalog Product View (Bundle)","Catalog Product View (Bundle)"
"Checkbox","Checkbox"
"Choose a selection...","Choose a selection..."
"Click for price","Click for price"
"Close","Close"
"Default","Default"
"Default Qty","Default Qty"
"Default Title","Default Title"
"Drop-down","Drop-down"
"Dynamic","Dynamic"
"Excl. Tax","Excl. Tax"
"Excl. Tax:","Excl. Tax:"
"Fixed","Fixed"
"From","From"
"From:","From:"
"Gift Message","Gift Message"
"Incl. Tax","Incl. Tax"
"Incl. Tax:","Incl. Tax:"
"Input Type","Input Type"
"Is Required","Is Required"
"Message:","Message:"
"Multiple Select","다중선택"
"N/A","N/A"
"No options of this product are available.","No options of this product are available."
"None","None"
"Percent","Percent"
"Percent Discount","Percent Discount"
"Please Select Products to Add","추가할 상품을 선택해주세요."
"Please enter a number greater 0 in this field.","0보다 큰 값을 입력해주세요."
"Please enter search conditions to view products.","Please enter search conditions to view products."
"Please select options for product.","상품의 옵션을 선택해주세요."
"Please specify product option(s).","상품의 옵션을 지정해 주세요."
"Position","Position"
"Price Range","Price Range"
"Price Type","Price Type"
"Price as configured","Price as configured"
"Qty:","Qty:"
"Radio Buttons","Radio Buttons"
"Required options are not selected.","Required options are not selected."
"Selected required options are not available.","Selected required options are not available."
"Separately","Separately"
"Ship Bundle Items","Ship Bundle Items"
"Shipment","Shipment"
"Store View Title","Store View Title"
"There is no defined renderer for ""%s"" option type.","There is no defined renderer for ""%s"" option type."
"This product is also part of bundle(s)","This product is also part of bundle(s)"
"To","To"
"To:","To:"
"Together","Together"
"Total incl. Tax: %1$s","Total incl. Tax: %1$s"
"Use Default Value","사용자 기본 값"
"User Defined Qty","사용자 정의 수량"
"and","and"
"each","each"
"save","저장"
