"""%s"" is not available in the requested quantity. %s of the items will be backordered.","""%s"" is not available in the requested quantity. %s of the items will be backordered."
"%s is available for purchase in increments of %s only.","%s is available for purchase in increments of %s only."
"%s is not a correct comparsion method.","%s is not a correct comparsion method."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart."
"Add Minimum Qty","Add Minimum Qty"
"Allow Qty Below 0","Allow Qty Below 0"
"Allow Qty Below 0 and Notify Customer","Allow Qty Below 0 and Notify Customer"
"Automatically Return Credit Memo Item to Stock","Automatically Return Credit Memo Item to Stock"
"Backorders","Backorders"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"Cannot specify product identifier for the order item.","Cannot specify product identifier for the order item."
"Catalog Inventory","Catalog Inventory"
"Decrease Stock When Order is Placed","Decrease Stock When Order is Placed"
"Display Out of Stock Products","Display Out of Stock Products"
"Display products availability in stock in the frontend","Display products availability in stock in the frontend"
"Enable Qty Increments","Enable Qty Increments"
"In Stock","In Stock"
"Index Product Stock Status","Index Product Stock Status"
"Inventory","재고관리"
"Inventory API","재고관리 API"
"Inventory Section","재고관리 항목"
"Manage Stock","품절관리"
"Maximum Qty Allowed in Shopping Cart","장바구니 최대 수량"
"Minimum Qty","최소 수량"
"Minimum Qty Allowed in Shopping Cart","장바구니 최소 수량"
"Multi update product stock data","Multi update product stock data"
"No Backorders","No Backorders"
"Not all products are available in the requested quantity","Not all products are available in the requested quantity"
"Notify for Quantity Below","Notify for Quantity Below"
"Only X left Threshold","Only X left Threshold"
"Out of Stock","매진"
"Product Stock Options","Product Stock Options"
"Products will still be shown by direct product URLs.","Products will still be shown by direct product URLs."
"Qty Increments","Qty Increments"
"Qty for Item's Status to Become Out of Stock","Qty for Item's Status to Become Out of Stock"
"Retrieve stock data","Retrieve stock data"
"Retrieve stock data by product ids","Retrieve stock data by product ids"
"Rule price","가격정책"
"Set Items' Status to be In Stock When Order is Cancelled","Set Items' Status to be In Stock When Order is Cancelled"
"Some of the products are currently out of stock.","일부 상품이 일시품절중입니다."
"Some of the products cannot be ordered in requested quantity.","Some of the products cannot be ordered in requested quantity."
"Some of the products cannot be ordered in the requested quantity.","Some of the products cannot be ordered in the requested quantity."
"Stock Options","Stock Options"
"Stock Status","재고 상태"
"The maximum quantity allowed for purchase is %s.","최대 구매가능 수량은 %s 입니다."
"The minimum quantity allowed for purchase is %s.","최소 구매수량은 %s 입니다."
"The requested quantity for ""%s"" is not available.","요청하신 ""%s""상품의 재고가 부족합니다."
"The stock item for Product in option is not valid.","The stock item for Product in option is not valid."
"The stock item for Product is not valid.","The stock item for Product is not valid."
"This product is available for purchase in increments of %s only.","This product is available for purchase in increments of %s only."
"This product is currently out of stock.","일시품절인 상품입니다."
"This product is not available in the requested quantity. %s of the items will be backordered.","This product is not available in the requested quantity. %s of the items will be backordered."
"To Fixed Value","To Fixed Value"
"To Percentage","To Percentage"
"Undefined product type.","유효하지 않은 상품 타입."
"Update","수정"
"Update product stock data","재고정보 수정"
"Update the Product","Update the Product"
