"%s was added to your shopping cart.","%s was added to your shopping cart."
"%s was updated in your shopping cart.","%s was updated in your shopping cart."
"* Required Fields","* 필수 입력"
"Add New Address","Add New Address"
"Add New Condition","Add New Condition"
"Add coupon code for shopping cart","Add coupon code for shopping cart"
"Add gift messages to shopping cart","Add gift messages to shopping cart"
"Add product to shopping cart","Add product to shopping cart"
"Add product(s) to shopping cart","Add product(s) to shopping cart"
"Add to Cart","장바구니에 추가"
"Add to Compare","상품비교에 추가"
"Add to Wishlist","위시리스트에 추가"
"Additional Product Info","부가 상품정보"
"Address","주소"
"Address %s of %s","Address %s of %s"
"After Adding a Product Redirect to Shopping Cart","After Adding a Product Redirect to Shopping Cart"
"Allow Guest Checkout","Allow Guest Checkout"
"Already registered?","Already registered?"
"An error occurred in the process of payment","결제중에 에러가 발생하였습니다."
"An error occurred while deleting this condition.","상테 삭제시 에러가 발생하였습니다."
"An error occurred while saving this condition.","상태 저장시 에러가 발생하였습니다."
"Apply Coupon","쿠폰적용"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping cart?"
"Back","Back"
"Back to Billing Information","결제 정보로 돌아가기"
"Back to Select Addresses","주소 선택으로 돌아가기"
"Back to Shipping Information","배송 정보로 돌아가기"
"Back to Shopping Cart","장바구니로 돌아가기"
"Based on your selection, you may be interested in the following items:","Based on your selection, you may be interested in the following items:"
"Billing Address","결제 주소"
"Billing Information","결제 정보"
"Billing Information - %s","결제 정보 - %s"
"Cancel Coupon","쿠폰취소"
"Cannot add item to the shopping cart.","장바구니에 상품을 담을 수 없습니다."
"Cannot add the item to shopping cart","장바구니에 상품을 담을 수 없습니다."
"Cannot add the item to shopping cart.","장바구니에 상품을 담을 수 없습니다."
"Cannot apply the coupon code.","쿠폰코드를 적용할 수 없습니다."
"Cannot configure product.","상품을 구성할 수 없습니다."
"Cannot open the overview page","Overview페이지를 열 수 없습니다."
"Cannot process the item.","Cannot process the item."
"Cannot remove the item.","이 항목을 삭제할 수 없습니다."
"Cannot update shopping cart.","장바구니를 수정할 수 없습니다."
"Cannot update the item.","항목을 수정할 수 없습니다."
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Cart Product API","장바구니 API"
"Cart Subtotal:","상품가격:"
"Change","변경"
"Change Billing Address","결제 주소 변경"
"Checkbox Text","Checkbox Text"
"Checkout","체크아웃"
"Checkout Conditions","체크아웃 상태"
"Checkout Method","체크아웃 방법"
"Checkout Options","체크아웃 옵션"
"Checkout Progress Wrapper","Checkout Progress Wrapper"
"Checkout Section","체크아웃 항목"
"Checkout Terms and Conditions","결제 이용약관"
"Checkout as Guest","비회원으로 체크아웃"
"Checkout as a Guest or Register","비회원이나 회원으로 체크아웃"
"Checkout with Multiple Addresses","다중 주소로 체크아웃"
"City","도시"
"Clear Shopping Cart","장바구니 비우기"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","<a href=""%s"" onclick=""this.target=\'_blank\'""> 주문정보 출력 </a> "
"Click <a href=""%s"">here</a> to continue shopping.","Click <a href=""%s"">here</a> to continue shopping."
"Close","닫기"
"Company","회사"
"Condition Name","상태 명"
"Configurable Product Image","복합상품 이미지"
"Configure Cart Item","Configure Cart Item"
"Confirm Password","비밀번호 다시입력"
"Content","Content"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","계속"
"Continue Shopping","쇼핑 계속하기"
"Continue to Billing Information","결제 정보로 계속"
"Continue to Review Your Order","주문정보 미리보기로 계속"
"Continue to Shipping Information","배송정보로 계속"
"Country","국가"
"Coupon code ""%s"" is not valid.","쿠폰코드 ""%s"" 는 유효하지 않습니다."
"Coupon code ""%s"" was applied.","쿠폰코드 ""%s"" 적용 되었습니다."
"Coupon code was canceled.","쿠폰코드가 취소되었습니다."
"Create Billing Address","주문 주소 등록"
"Create Shipping Address","배송 주소 등록"
"Create an order from shopping cart","장바구니로 주문등록"
"Create shopping cart","장바구니 등록"
"Customer Address is not valid.","고객 주소가 유효하지 않습니다."
"Customer Information","고객 정보"
"Customer's information","고객 정보"
"Data saving problem","자죠 저장 문제"
"Default Billing","기본 결제"
"Default Shipping","기본 배송"
"Delete Condition","상태 삭제"
"Details","상세정보"
"Disabled","비활성화"
"Discount Codes","할인코드"
"Display Cart Summary","장바구니 요약 노출여부"
"Display Shopping Cart Sidebar","장바구니 사이드바 노출여부"
"Display item quantities","상품 수량 노출여부"
"Display number of items in cart","장바구니 상품 노출수"
"Display number of items in wishlist","찜목록 상품 노출수"
