"%s","%s"
"%s already exist.","%s 는 이미 존재 합니다."
"%s already exists.","%s 는 이미 존재 합니다."
"-- Please Select --","-- 선택하세요 --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">경고!!</strong> CDN을 사용하실때 CDN이 당신의 서브 도메인이 아니면 일부 자바스크립트는 실행할 수 없습니다."
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">경고!</strong> 상점코드 URLs를 사용하시면 일부 모듈이 실행되지 않을 수 있습니다. (e.g. PayPal etc.)."
"A category object is required for determining the product request path.","A category object is required for determining the product request path."
"Add Block Names to Hints","블럭명에 힌트 추가"
"Add Secret Key to URLs","URL에 암호키 추가"
"Add Store Code to Urls","URL에 상점 코드 추가"
"Admin","관리자"
"Admin Base URL","관리자 페이지 URL"
"Admin User Emails","관리자 이메일관리"
"Advanced","고급설정"
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","신규 미디어 저장소를 선택하신 후 모든 미디어를 사용하기 위해서는 싱크버튼을 누르셔야 합니다. 모든 미디어 파일은 싱크가 끝난후에 사용 가능 합니다."
"Allow Countries","허가 국가관리"
"Allow Symlinks","Symlinks 허용"
"Allowed IPs (comma separated)","허용 IP(,로 구분)"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","허용되는 파일 타입 : ICO, PNG, GIF, JPG, JPEG, APNG, SVG. 모든 브라우져에서 이 타입을 지원하지 않습니다!"
"Allows customers to stay logged in when switching between different stores.","다른 상점 전환간 고객 로그인 유지 가능"
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Alternative text for next link in pagination menu. If empty, default arrow image will used."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Alternative text for previous link in pagination menu. If empty, default arrow image will used."
"An error occurred while saving. Please review the error log.","An error occurred while saving. Please review the error log."
"Anchor Text for Next","Anchor Text for Next"
"Anchor Text for Previous","Anchor Text for Previous"
"Anchor symbol (#) is not supported in request path","Anchor symbol (#) is not supported in request path"
"Anchor symbol (#) is not supported in url rewrite suffix","Anchor symbol (#) is not supported in url rewrite suffix"
"Are you sure?","Are you sure?"
"Auto-redirect to Base URL","Base URL로 자동이동"
"Back","뒤로가기"
"Backup Options","백업 옵션"
"Base JavaScript URL","Base JavaScript URL"
"Base Link URL","Base Link URL"
"Base Media URL","Base Media URL"
"Base Secure URL","Base Secure URL"
"Base Skin URL","Base Skin URL"
"Base URL","Base URL"
"Base Unsecure URL","Base Unsecure URL"
"Before modifying the store view code please make sure that it is not used in index.php.","Before modifying the store view code please make sure that it is not used in index.php."
"Before modifying the website code please make sure that it is not used in index.php.","Before modifying the website code please make sure that it is not used in index.php."
"Block with name ""%s"" already exists","Block with name ""%s"" already exists"
"Browser Capabilities Detection","Browser Capabilities Detection"
"CSS Settings","CSS Settings"
"Cache Storage Management","캐시 저장소 관리"
"Cache storage may contain additional data. Are you sure that you want flush it?","Cache storage may contain additional data. Are you sure that you want flush it?"
"Can not create invoice. Order was not found.","Can not create invoice. Order was not found."
"Can't retrieve request object","Can't retrieve request object"
"Can\'t retrieve entity config: %s","Can\'t retrieve entity config: %s"
"Cancel","취소"
"Cannot complete this operation from non-admin area.","관리자 페이자가 아닌 곳에서 이 명령을 완료할 수 없습니다."
"Card type does not match credit card number.","신용카드 번호화 카드타입이 맞지 않습니다."
"Code","코드"
"Controller file was loaded but class does not exist","Controller 파일이 로드되었으나 Class 를 찾을 수 없습니다."
"Cookie Domain","Cookie Domain"
"Cookie Lifetime","쿠키활성시간"
"Cookie Path","쿠키 위치"
"Cookie Restriction Mode","Cookie Restriction Mode"
"Copyright","Copyright"
"Core","Core"
"Countries Options","국가 옵션"
"Country","국가"
"Create Store","상점 생성"
"Create Store View","상점 뷰 생성"
"Create Website","웹사이트 생성"
"Credit card number does not match credit card type.","신용카드 타입과 카드번호가 맞지 않습니다."
"Current Package Name","현재 패키지 명"
"Custom Admin Path","사용자 관리 Path"
"Custom Admin URL","사용자 관리 URL"
"Custom Design","사용자 디자인"
"Custom Email 1","사용자 이메일 1"
"Custom Email 2","사용자 이메일 2"
"Custom Variables","사용자 변수"
"Custom1 Contact Email","담당자1 이메일"
"Custom1 Contact Name","담당자1 성명"
"Custom2 Contact Email","담당자2 이메일"
"Custom2 Contact Name","담당자2 성명"
"Customer Support","고객 지원"
"Dashboard","대시보드"
"Date From","Date From"
"Date To","Date To"
"Date/time format ""%s"" is not supported.","Date/time format ""%s"" is not supported."
"Debug","Debug"
"Default","기본"
"Default Country","기본국"
"Default Description","기본 설명"
"Default Keywords","기본 키워드"
"Default No-route URL","Default No-route URL"
"Default Pages","기본페이지"
"Default Robots","Default Robots"
"Default Store","기본 상점"
"Default Store View","기본 상점뷰"
"Default Title","기본 타이틀"
"Default Web URL","기본 Web URL"
"Delete","삭제"
"Delete Store","상점 삭제"
"Delete Store View","상점뷰 삭제"
"Delete Website","사이트 삭제"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s."
"Design","디자인"
"Design Change","디자인 변경"
"Developer","개발자"
"Developer Client Restrictions","개발자 접속 제한"
"Disable Email Communications","이메일 커뮤니케이션을 비활성"
"Disable Modules Output","Modules Output 비활성"
"Display Demo Store Notice","Display Demo Store Notice"
"Duplicate Of Template Name","템플릿명 복제"
"Edit Design Change","디자인 변경 편집"
"Edit Store","상점 편집"
"Edit Store View","상점 뷰 편집"
"Edit Website","웹사이트 편집"
"Empty identifier field name","Empty identifier field name"
"Empty main table name","Empty main table name"
"Enable Charts","차트 활성화"
"Enabled","활성화"
"Enabled for Admin","Enabled for Admin"
"Enabled for Frontend","Enabled for Frontend"
"Environment Update Time","Environment Update Time"
"Error in file: ""%s"" - %s","Error in file: ""%s"" - %s"
"European Union Countries","European Union Countries"
"Exceptions Log File Name","Exceptions Log File Name"
"Favicon Icon","Favicon Icon"
"File %s does not exist","%s 파일이 존재하지 않습니다."
"File %s is not readable","%s 파일을 읽을 수 없습니다."
"File not found","파일을 찾을 수 없습니다."
"File system","File system"
"File with an extension ""%value%"" is protected and cannot be uploaded","File with an extension ""%value%"" is protected and cannot be uploaded"
"First Day of Week","주초 선택"
"Flush Cache Storage","캐시 저장소 비우기"
"Flush Magento Cache","마젠토 캐시 비우기"
"Footer","Footer"
"Forgot Password Email Sender","비밀번호 찾기 전송메일"
"Forgot Password Email Template","비밀번호 찾기 템플릿"
"General","General"
"General Contact","General Contact"
"General Contact Email","General Contact Email"
"General Contact Name","General Contact Name"
"General Settings","General Settings"
"Get info about current Magento installation","Get info about current Magento installation"
"Global","Global"
"HTML Head","HTML Head"
"HTML tags are not allowed","HTML tags are not allowed"
"Header","Header"
"Host","Host"
"How many links to display at once.","How many links to display at once."
"ID Path for Specified Store","ID Path for Specified Store"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","If the current frame position does not cover utmost pages, will render link to current position plus/minus this value."
"Incorrect credit card expiration date.","Incorrect credit card expiration date."
"Input type ""%value%"" not found in the input types list.","Input type ""%value%"" not found in the input types list."
"Invalid URL '%value%'.","Invalid URL '%value%'."
"Invalid base url type","Invalid base url type"
