" or "," or "
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' appears to be a DNS hostname but cannot extract TLD part"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' appears to be a DNS hostname but cannot match TLD against known list"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' appears to be a DNS hostname but contains a dash in an invalid position"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' appears to be a local network name but local network names are not allowed"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' appears to be an IP address, but IP addresses are not allowed"
"'%value%' does not appear to be a valid local network name","'%value%' does not appear to be a valid local network name"
"* Required Fields","* 필수 입력"
"ALL GROUPS","ALL GROUPS"
"Account Dashboard","계정 대쉬보드"
"Account Information","계정 정보"
"Account Sharing Options","계정 공유 옵션"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>."
"Action","Action"
"Add New Address","Add New Address"
"Add New Customer","Add New Customer"
"Add New Customer Group","Add New Customer Group"
"Added From","Added From"
"Additional Address Entries","Additional Address Entries"
"Address","주소"
"Address Book","주소록"
"Address Books","주소록"
"Address Information","주소 정보"
"Address Templates","주소 템플릿"
"Addresses","Addresses"
"Admin","Admin"
"All","All"
"All Store Views","All Store Views"
"All countries","All countries"
"Always optional.","Always optional."
"Amount","Amount"
"An error occurred while deleting the address.","An error occurred while deleting the address."
"An error occurred while retrieving the option value: %s.","An error occurred while retrieving the option value: %s."
"An error occurred while saving the collection, aborting. Error: %s","An error occurred while saving the collection, aborting. Error: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","An invalid option ID is specified for %s (%s), skipping the record."
"Approved","Approved"
"Are you sure that you want to remove this item?","Are you sure that you want to remove this item?"
"Are you sure you want to cancel adding of this address?","Are you sure you want to cancel adding of this address?"
"Are you sure you want to delete this address?","Are you sure you want to delete this address?"
"Are you sure?","Are you sure?"
"Array of Entity collections is expected.","Array of Entity collections is expected."
"Assign a Customer Group","Assign a Customer Group"
"Average Sale","Average Sale"
"Back","Back"
"Back - link to the previously viewed page","Back - link to the previously viewed page"
"Back to Login","Back to Login"
"Bad request.","Bad request."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Based on the VAT ID, the customer would belong to the Customer Group %s."
"Bill to Name","Bill to Name"
"Bought From","Bought From"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"CSV","CSV"
"Cancel","Cancel"
"Cannot save a new password.","Cannot save a new password."
"Cannot save address.","Cannot save address."
"Cannot save the customer.","Cannot save the customer."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged."
"Change Account Password","Change Account Password"
"Change Billing Address","Change Billing Address"
"Change Password","Change Password"
"Change Shipping Address","Change Shipping Address"
"City","도시"
"Company","회사"
"Config","구성"
"Configure","구성"
"Confirm New Password","신규 비밀번호 확인"
"Confirm Password","비밀번호 확인"
"Confirmation Link Email","확인 링크 메일"
"Confirmed","확인됨"
"Contact Information","연락 정보"
"Continue Shopping","쇼핑 계속하기"
"Country","국가"
"Create","생성"
"Create New Account Options","신규 계정 생성 옵션"
"Create New Customer Account","신규 고객 계정 생성"
"Create Order","주문 생성"
"Create an Account","계정생성"
"Create customer","고객 생성"
"Create customer address","고객 주소 생성"
"Current Password","현재 비밀번호"
"Customer","고객"
"Customer API","고객 API"
"Customer Account Edit Form","Customer Account Edit Form"
"Customer Account Login Form","Customer Account Login Form"
"Customer Account Logout Success","Customer Account Logout Success"
"Customer Account Registration Form","Customer Account Registration Form"
"Customer Addresses","Customer Addresses"
"Customer Configuration","Customer Configuration"
"Customer Forgot Password Form","Customer Forgot Password Form"
"Customer Group","Customer Group"
"Customer Groups","Customer Groups"
"Customer Information","Customer Information"
"Customer Login","Customer Login"
"Customer My Account (All Pages)","Customer My Account (All Pages)"
"Customer My Account Address Book","Customer My Account Address Book"
"Customer My Account Address Edit Form","Customer My Account Address Edit Form"
"Customer My Account Dashboard","대쉬보드"
"Customer Since","Customer Since"
"Customer View","Customer View"
"Customer collection expected.","Customer collection expected."
"Customer email is required","Customer email is required"
"Customer website ID must be specified when using the website scope","Customer website ID must be specified when using the website scope"
"Customer will stay on the current page if ""No"" is selected.","아니오 선택시 고객이 현재 로그인한 페이지에 있습니다."
"Customers","Customers"
"Customers Only","Customers Only"
"Customers Section","Customers Section"
"DD","DD"
"Date","Date"
"Date Added","Date Added"
"Date of Birth","Date of Birth"
"Day","Day"
"Days in Wishlist","Days in Wishlist"
"Default Addresses","기본 주소"
"Default Billing Address","기본 결제 주소"
"Default Email Domain","기본 이메일 도메인"
"Default Group","기본 그룹"
"Default Shipping Address","기본 배송 주소"
"Default Value for Disable Automatic Group Changes Based on VAT ID","VAT ID로 자동 그룹 변경 비활성시 기본값"
"Default Welcome Email","기본 환영 이메일"
"Delete","삭제"
"Delete Address","주소 삭제"
"Delete Customer","고객 삭제"
"Delete Customer Group","고객 그룹 삭제"
"Delete customer","고객 삭제"
"Delete customer address","고객 주소 삭제"
"Deleted Stores","상점 삭제"
"Details","상세정보"
"Disabled","비활성화"
"Edit","Edit"
"Edit Account Info","계정 정보 수정"
"Edit Account Information","계정 정보 수정"
"Edit Address","주소 수정"
"Edit Address Entry","주소 항목 수정"
"Edit Customer Group ""%s""","고객 그룹""%s"" 수정"
"Edit Customer Groups","고객 그룹 수정"
"Edit Customer's Address","고객 주소 수정"
"Edit Group","그룹 수정"
"Edit Newsletters","뉴스레터 수정"
"Email","이메일"
"Email Address","이메일 주소"
"Email Sender","이메일 전송자"
"Email:","이메일:"
"Enable Automatic Assignment to Customer Group","자동 고객 그룹 지정 활성화"
"Entity collection is expected.","Entity collection is expected."
"Excel XML","Excel XML"
"Failed to confirm customer account.","고객 계정 확인에 실패하였습니다."
"Fax","Fax"
"First Name","이름"
"Forgot Email Template","이메일 템플릿 찾기"
"Forgot Password","비밀번호 찾기"
"Forgot Your Password","비밀번호 찾기"
"Forgot Your Password?","비밀번호 찾기"
"Forgot and Remind Email Sender","이메일 전송자 찾기"
"Form Fields Before","Form Fields Before"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"Gender","성별"
"Gender is required.","성별은 필수값 입니다."
"General Subscription","일반 구독"
"Generate Human-Friendly Customer ID","Generate Human-Friendly Customer ID"
"Global","Global"
"Group","Group"
"Group Information","Group Information"
"Group Name","Group Name"
"Group for Invalid VAT ID","VAT ID가 유효하지 않은 그룹"
"Group for Valid VAT ID - Domestic","VAT ID가 유효한 그룹 - 국내"
"Group for Valid VAT ID - Intra-Union","VAT ID가 유효한 그룹 - 연방"
"Guest","비회원"
"HTML","HTML"
"Hello, %s!","환영합니다, %s!"
"ID","ID"
"IP Address","IP Address"
"If you believe this is an error, please contact us at %s","만약 오류같으시면 %s로 연락주시기 바랍니다."
"If you have an account with us, please log in.","계정이 있으시면 로그인하시기 바랍니다."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","유효하지 않은 속성 옵션이 지정됨 %s (%s), 이 항목을 통과 합니다."
"Invalid attribute set specified, skipping the record.","유효하지 않은 속성 그룹이 지정됨, 이 항목을 통과 합니다."
"Invalid billing address for (%s)","유효하지 않은 결제 주소 (%s)"
"Invalid current password","유효하지 않은 현재 비밀번호"
"Invalid customer data","유효하지 않은 고객 정보"
"Invalid email address ""%s"".","유효하지 않은 이메일 주소 ""%s""."
"Invalid email address.","유효하지 않은 이메일주소."
"Invalid login or password.","계정이나 비밀번호를 잘못 입력하셨습니다."
"Invalid password reset token.","유효하지 않은 비밀번호 재설정 토큰."
