"""%s"" contains not only digit characters.","""%s"" contains not only digit characters."
"""%s"" does not fit the entered date format.","""%s"" does not fit the entered date format."
"""%s"" exceeds the allowed file size.","""%s"" exceeds the allowed file size."
"""%s"" exceeds the allowed length.","""%s"" exceeds the allowed length."
"""%s"" has not only alphabetic and digit characters.","""%s"" has not only alphabetic and digit characters."
"""%s"" has not only alphabetic characters.","""%s"" has not only alphabetic characters."
"""%s"" height exceeds allowed value of %s px.","""%s"" height exceeds allowed value of %s px."
"""%s"" invalid type entered.","""%s"" invalid type entered."
"""%s"" is a required value.","""%s"" is a required value."
"""%s"" is an empty string.","""%s"" is an empty string."
"""%s"" is not a valid URL.","""%s"" is not a valid URL."
"""%s"" is not a valid date.","""%s"" is not a valid date."
"""%s"" is not a valid email address.","""%s""은 유효한 이메일이 아닙니다."
"""%s"" is not a valid file","""%s""은 유효한 파일이 아닙니다."
"""%s"" is not a valid file extension.","""%s""은 유효한 파일 확장자가 아닙니다."
"""%s"" is not a valid file.","""%s""은 유효한 파일이 아닙니다."
"""%s"" is not a valid hostname.","""%s""은 유효한 호스트명이 아닙니다."
"""%s"" is not a valid image format","""%s""은 유효한 이미지가 아닙니다."
"""%s"" length must be equal or greater than %s characters.","""%s"" length must be equal or greater than %s characters."
"""%s"" length must be equal or less than %s characters.","""%s"" length must be equal or less than %s characters."
"""%s"" width exceeds allowed value of %s px.","""%s"" width exceeds allowed value of %s px."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' appears to be a DNS hostname but cannot extract TLD part"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' appears to be a DNS hostname but cannot match TLD against known list"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' appears to be a DNS hostname but contains a dash in an invalid position"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' appears to be a local network name but local network names are not allowed"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' appears to be an IP address, but IP addresses are not allowed"
"'%value%' does not appear to be a valid URI hostname","'%value%' does not appear to be a valid URI hostname"
"'%value%' does not appear to be a valid local network name","'%value%' does not appear to be a valid local network name"
"'%value%' does not match the expected structure for a DNS hostname","'%value%' does not match the expected structure for a DNS hostname"
"A joint field with this alias (%s) is already declared","A joint field with this alias (%s) is already declared"
"Add Option","옵션 추가"
"An error occurred while loading a record, aborting. Error: %s","An error occurred while loading a record, aborting. Error: %s"
"An error occurred while loading the collection, aborting. Error: %s","An error occurred while loading the collection, aborting. Error: %s"
"An error occurred while saving a record, aborting. Error: ","An error occurred while saving a record, aborting. Error: "
"Attempt to add an invalid object","Attempt to add an invalid object"
"Attribute '%s' used in configurable products","'%s' 속성은 복함상품에 사용됩니다."
"Attribute Code","속성 코드"
"Attribute Label","속성 라벨"
"Attribute Properties","속성 항목"
"Attribute object is undefined","속성 object가 정의되지 않았습니다."
"Attribute set with the ""%s"" name already exists.","Attribute set with the ""%s"" name already exists."
"Attribute with the same code","동일한 속성 코드"
"Can\'t create table: %s","테이블을 생성할 수 없습니다: %s"
"Catalog Input Type for Store Owner","Catalog Input Type for Store Owner"
"Current module EAV entity is undefined","통화모듈 EAV entity가 정의되지 않았습니다."
"Current module pathname is undefined","통화모듈 pathname이 정의되지 않았습니다."
"Data integrity: No header row found for attribute","Data integrity: No header row found for attribute"
"Date","날짜"
"Decimal Number","소수"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","기본 상품 정렬이 허용 정렬목록에 존재하지 않습니다."
"Default Value","기본값"
"Default option value is not defined","기본 옵션값이 정의되지 않았습니다."
"Delete","삭제"
"Dropdown","Dropdown"
"Email","이메일"
"Entity collection expected.","Entity collection expected."
"Entity collections expected.","Entity collections expected."
"Entity instance is not defined","Entity instance is not defined"
"Entity is not initialized","Entity is not initialized"
"Entity object is undefined","Entity object is undefined"
"Failed to load node %s from config","Failed to load node %s from config"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less then %s symbols","For internal use. Must be unique with no spaces. Maximum length of attribute code must be less then %s symbols"
"Form Element with the same attribute","Form Element with the same attribute"
"Form Fieldset with the same code","Form Fieldset with the same code"
"Form Type with the same code","Form Type with the same code"
"Form code is not defined","Form code is not defined"
"Frontend label is not defined","프론트 라벨이 정의되지 않았습니다."
"Input Validation for Store Owner","Input Validation for Store Owner"
"Integer Number","정수형숫자"
"Invalid EAV attribute.","유효하지않은 EAV 속성."
"Invalid alias, already exists in joint attributes","Invalid alias, already exists in joint attributes"
"Invalid attribute name: %s","유효하지 않은 속성명: %s"
"Invalid attribute requested: %s","Invalid attribute requested: %s"
