"%s Index process is working now. Please try run this process later.","%s Index process is working now. Please try run this process later."
"%s index was rebuilt.","%s index was rebuilt."
"'%s' Index Process Information","'%s' Index Process Information"
"Action","Action"
"Cannot initialize the indexer process.","Cannot initialize the indexer process."
"Change Index Mode","Change Index Mode"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","다음을 클릭하여 <a href=""%s"">Index Management</a>로 이동해서 필요한 인덱스를 재생성하십시오."
"Delete","삭제"
"Description","Description"
"Disable","Disable"
"Enable","Enable"
"General","General"
"Index","인덱스"
"Index Description","인덱스 설명"
"Index Management","인덱스 관리"
"Index Mode","Index Mode"
"Index Name","Index Name"
"Index mode","Index mode"
"Indexer code is not defined.","Indexer code is not defined."
"Indexer model is not defined.","Indexer model is not defined."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Indexer model should extend Mage_Index_Model_Indexer_Abstract."
"Manual Update","Manual Update"
"Mode","Mode"
"Never","Never"
"No","No"
"One or more of the Indexes are not up to date:","하나 또는 그 이상의 인덱스가 갱신되지 않았습니다:"
"Please select Index(es)","인덱스를 선택하십시오"
"Please select Indexes","인덱스를 선택하십시오"
"Process Information","실행 정보"
"Processing","실행 중"
"Ready","준비"
"Refresh","갱신"
"Reindex Data","데이터 재정렬(Reindex)"
"Reindex Required","재정렬(Reindex) 필요함"
"Revoke","Revoke"
"Status","상태"
"System","시스템"
"The index has been saved.","Index가 저장되었습니다."
"There was a problem with reindexing process.","재인덱싱(Reindexing) 도중 문제가 발생했습니다."
"There was a problem with saving process.","저장 도중 문제가 발생했습니다."
"Total of %d index(es) have changed index mode.","Total of %d index(es) have changed index mode."
"Total of %d index(es) have reindexed data.","Total of %d index(es) have reindexed data."
"Update Required","업데이트 필요"
"Update on Save","Update on Save"
"Updated At","Updated At"
"Yes","Yes"
