"%name% '%value%' is too long. It must has length %min% symbols.","%name% '%value%' 이 너무 깁니다. %min%자로 입력하십시오."
"%name% '%value%' is too short. It must has length %min% symbols.","%name% '%value%' 이 너무 짧습니다. %min%자로 입력하십시오."
"* Required Fields","* 필수 입력"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> 요청이 계정정보에 접근 가능합니다."
"Admin","관리자"
"After authorization application will have access to you account.","어플리케이션 권한을 추가하셔야 계정에 접근 가능합니다."
"An error occurred on confirm authorize.","권한 확인중 오류가 발생하였습니다."
"An error occurred on delete action.","삭제중 오류가 발생하였습니다."
"An error occurred on delete application.","어플리케이션 삭제중 오류가 발생하였습니다."
"An error occurred on reject authorize.","권한 거절중 오류가 발생하였습니다."
"An error occurred on saving consumer data.","고객정보 저장중 오류가 발생하였습니다."
"An error occurred on update revoke status.","취소 상태를 수정하며 오류가 발생하였습니다."
"An error occurred while deleting the consumer.","고객 삭제중 오류가 발생하였습니다."
"An error occurred.","오류가 발생하였습니다."
"An error occurred. Your authorization request is invalid.","권한요청이 유효하지 않아 오류가 발생하였습니다."
"App Name","App Name"
"Application ""%s"" has been deleted.","""%s"" 어플리케이션 삭제됨."
"Application ""%s"" has been enabled.","""%s"" 어플리케이션 비활성."
"Application ""%s"" has been revoked.","""%s"" 어플리케이션 취소됨."
"Application Name","어플리케이션 명"
"Application not found.","어플리케이션을 찾을 수 없습니다."
"Are you sure you want to delete this application?","이 어플리케이션을 삭제하시겠습니까?"
"Are you sure you want to disable this application?","이 어플리케이션을 비활성화 시키겠습니까?"
"Are you sure you want to enable this application?","이 어플리케이션을 활성화 시키겠습니까?"
"Authorization confirmed","권한 확인됨"
"Authorization confirmed.","권한 확인됨."
"Authorize","권한"
"Authorize application","어플리케이션 권한"
"Authorized Tokens","권한 토큰"
"Callback URL","Callback URL"
"Cleanup Probability","정리 확률"
"Cleanup Settings","정리 설정"
"Close","닫기"
"Confirm OAuth token authorization","OAuth 토큰 권한 확인"
"Confirm token authorization Pop Up for admin","관리자 토큰 권한 팝업 확인"
"Confirm token authorization for admin","관리자 토큰 권한 확인"
"Confirmation Of Authorization","권한 확인"
"Consumer Information","고객 정보"
"Consumer Name","고객명"
"Consumers","고객"
"Created At","생성일"
"Customer","고객"
"Customer My Account My OAuth Applications","고객 내 계정 내 OAuth 어플리케이션"
"Delete","삭제"
"Disable","비활성"
"Disabled","비활성화"
"Edit","수정"
"Edit Consumer","고객 수정"
"Email","이메일"
"Email Address","이메일 주소"
"Enable","활성화"
"Enabled","활성"
"Entry with ID #%s not found.","ID #%s 를 찾을 수 없습니다."
"Expiration Period","유효기간만료"
"Give the verifier code to application administrator","관리자에게 어플리케이션 인증코드를 전달 하십시오."
"ID","ID"
"Invalid Callback URL","유효하지 않은 Callback URL"
"Invalid ID parameter.","유효하지 않은 ID 변수."
"Invalid Rejected Callback URL","유효하지 않은 거절 Callback URL"
"Invalid entry ID.","유효하지 않은 entry ID."
"Invalid revoke status.","유효하지 않은 취소 상태."
"Key","Key"
"Log In","로그인"
"Log in as a customer","고객으로 로그인"
"Log in as admin","관리자로 로그인"
"Log in as customer","고객으로 로그인"
"Log in to use <strong>%s</strong>","<strong>%s</strong>로 로그인"
"Login","로그인"
"My Applications","내 어플리케이션"
"Name","이름"
"New Consumer","신규 고객"
"OAuth","OAuth"
"OAuth Admin My Apps","OAuth 관리자 내 Apps"
"OAuth Authorized Tokens","OAuth 권한 토큰"
"OAuth Consumers","OAuth 고객"
"OAuth authorization Pop Up for customer","고객 OAuth 권한 팝업"
"OAuth authorization for admin","관리자 OAuth 권한"
"OAuth authorization for customer","고객 OAuth 권한"
"OAuth authorization simple for admin","관리자 OAuth 심플 권한"
"Password","비밀번호"
"Permissions","Permissions"
"Please login to proceed authorization.","진행 권한으로 로그인 하시기 바랍니다."
"Please select needed row(s).","필요열을 선택하십시오."
"Please select revoke status.","취소 상태를 선택하십시오."
"REST - My Apps","REST - My Apps"
"REST - OAuth Authorized Tokens","REST - OAuth 권한 토큰"
"REST - OAuth Consumers","REST - OAuth 고객"
"Reject","거절"
"Reject OAuth token authorization","OAuth 토큰 권한 거부"
"Reject authorization","거부 권한"
"Reject token authorization Pop Up for admin","관리자 토큰 권한 거부 팝업"
"Reject token authorization for admin","관리자 토큰 권한 거부"
"Rejected Callback URL","Rejected Callback URL"
"Rejection Of Authorization","권한 거절"
"Revoked","취소됨"
"Role Name","권한 명"
"Save","저장"
"Save and Continue Edit","저장하고 계속 편집하기"
"Secret","비밀"
"Selected entries enabled.","선택된 사향들이 활성화 되었습니다."
"Selected entries has been deleted.","선택된 사향들이 삭제되었습니다."
"Selected entries revoked.","선택된 사향들이 취소되었습니다."
"Status","상태"
"System","시스템"
"The application access request is rejected.","어플리케이션 엑세스 요청 거부."
"The consumer has been deleted.","이 사용자는 삭제되었습니다."
"The consumer has been saved.","이 사용자는 저장되었습니다."
"Token Status Change","토큰 상태 변경"
"Token Status Change Email Template","토큰 상태 변경 이메일 템플릿"
"Unable to find a consumer.","고객을 찾을 수 없습니다."
"User ID","사용자 ID"
"User Name","사용자 명"
"User Type","사용자 타입"
"Verifier code: %s","Verifier code: %s"
"You have no applications.","어플리케이션이 없습니다."
"deleted","삭제됨"
"enabled","확성화됨"
"revoked","취소"
