"%s Item(s)","%s Item(s)"
"&copy; 2012 Magento Demo Store. All Rights Reserved.","&copy; 2012 Magento Demo Store. All Rights Reserved."
"&copy; 2013 Magento Demo Store. All Rights Reserved.","&copy; 2013 Magento Demo Store. All Rights Reserved."
"(Shift-)Click or drag to change value","(쉬프트키-)클릭하시거나 드래그하여 값을 변경하세요."
"(ver. %s)","(버젼. %s)"
"- Click on any of the time parts to increase it","- 시간 부분을 클릭하시면 증감 됩니다."
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- Use the %s buttons to select month","- 월을 선택하시려면 %s 버튼을 사용하시기 바랍니다."
"- Use the %s, %s buttons to select year","- 년도를 선택하시려면 %s, %s 버튼을 사용하시기 바랍니다."
"- or Shift-click to decrease it","- 쉬프트키+클릭시 차감 됩니다."
"- or click and drag for faster selection.","- 클릭이나 드래그시 빠른 선택이 가능합니다."
"-- Please Select --","-- 선택해주세요 --"
"1 column","1 행"
"2 columns with left bar","2 행 왼쪽 바"
"2 columns with right bar","2 행 오른쪽 바"
"3 columns","3 행"
"About the calendar","캘린더에 관하여"
"All Empty Layout Pages","모든 빈 페이지"
"All One-Column Layout Pages","모든 1행 페이지"
"All Pages","모든 페이지"
"All Pages (Print Version)","모든 페이지 (출력 버젼)"
"All Three-Column Layout Pages","모든 3행 페이지"
"All Two-Column Layout Pages (Left Column)","모든 2행 페이지 (왼쪽 행)"
"All Two-Column Layout Pages (Right Column)","모든 2행 페이지 (오른쪽 행)"
"Allow","허용"
"Breadcrumbs","브래드컴"
"Click <a href=""%s"">here</a> if nothing has happened","반응이 없으면 <a href=""%s"">여기</a>를 클릭하세요."
"Close","닫기"
"Close Window","창 닫기"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"Date selection:","날짜 선택:"
"Default Description","기본 설명"
"Default welcome msg!","기본 환영 메시지"
"Display %s first","Display %s first"
"Distributed under GNU LGPL. See %s for details.","GNU LGPL 라이센스정책을 따릅니다. 자세한 사항 %s "
"Drag to move","드래그해서 옮기기"
"Empty","Empty"
"For latest version visit: %s","For latest version visit: %s"
"Free Shipping on orders over 50$","50$이상 주문 무료배송"
"Go Today","오늘로 가기"
"Help Us to Keep Magento Healthy","Help Us to Keep Magento Healthy"
"Interface Language","기반언어"
"Items %s to %s of %s total","Items %s to %s of %s total"
"JavaScript seems to be disabled in your browser.","브라우져 자바스크립트가 비활성 상태입니다."
"Left Column","왼쪽 행"
"Main Content Area","메인 내용 영역"
"Navigation Bar","네비게이션 바"
"Next","다음"
"Next month (hold for menu)","다음 달 (hold for menu)"
"Next year (hold for menu)","다음 년 (hold for menu)"
"Page Bottom","페이지 아래"
"Page Footer","페이지 하단"
"Page Header","페이지 상단"
"Page Top","페이지 최상단"
"Page:","페이지:"
"Prev. month (hold for menu)","이전. 달 (hold for menu)"
"Prev. year (hold for menu)","이전. 냔 (hold for menu)"
"Previous","이전"
"Redirecting...","이동하기..."
"Report All Bugs","모든 오류사항 보고"
"Right Column","오른쪽 행"
"Select Store","상점 선택"
"Select Store:","상점 선택:"
"Select date","날짜 선택"
"Show","보기"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","이 상점은 데모 상점입니다. 모든 주문은 배송되지 않습니다."
"This website requires cookies to provide all of its features. For more information on what data is contained in the cookies, please see our <a href=""%s"">Privacy Policy page</a>. To accept cookies from this site, please click the Allow button below.","이 웹사이트는 쿠키를 사용하는 사이트입니다.자세한 사항은 쿠키를 포함하는 데이터에 있으며, <a href=""%s"">개인정보 취급방침</a> 페이지를 참조하시기 바랍니다.이 사이트에 대한 쿠키를 허용하시려면 허용 버튼을 클릭하시기 바랍니다."
"Time selection:","시간 선택:"
"Time:","시간:"
"Welcome, %s!","환영합니다, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","이 웹사이트를 이용하시려면 브라우져 설정에서 자바스크립트를 활성화 시켜주시기 바랍니다."
"Your Language","사용언어"
"Your Language:","사용 언어:"
"per page","페이지 당"
