"1 star","1 star"
"2 stars","2 stars"
"3 stars","3 stars"
"4 stars","4 stars"
"5 stars","5 stars"
"Add New Rating","신규 평가 추가"
"Assigned Options","Assigned Options"
"Be the first to review this product","Be the first to review this product"
"Default Value","기본값"
"Delete Rating","평가 삭제"
"Edit Rating","평가 수정"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","If you do not specify a rating title for a store, the default value will be used."
"Manage Ratings","평가 관리"
"New Rating","평가 추가"
"Option Label","Option Label"
"Option Title","Option Title"
"Option Title:","Option Title:"
"Please select one of each ratings above","Please select one of each ratings above"
"Rating Information","Rating Information"
"Rating Name","평가명"
"Rating Options","Rating Options"
"Rating Title","Rating Title"
"Rating Visibility","Rating Visibility"
"Rating isn't Available","평가가 가능하지 않습니다."
"Rating with the same title","Rating with the same title"
"Save Rating","평가 저장"
"Sort Order","Sort Order"
"Visible In","Visible In"
