"Action","Action"
"Add Sitemap","사이트맵 추가"
"Always","항상"
"CMS Pages Options","CMS 옵션 관리"
"Categories Options","카테고리 옵션 관리"
"Daily","매일"
"Edit Sitemap","사이트맵 수정"
"Enabled","활성화"
"Error Email Recipient","오류 이메일 수신자"
"Error Email Sender","오류 이메일 전송자"
"Error Email Template","오류 이메일 템플릿"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server."
"Filename","파일명"
"Frequency","빈도"
"Generate","Generate"
"Generation Settings","일반 설정"
"Google Sitemap","구글 사이트맵"
"Hourly","매시간"
"ID","ID"
"Last Time Generated","Last Time Generated"
"Link for Google","Link for Google"
"Monthly","월간"
"Never","하지 않음"
"New Sitemap","새로운 사이트맵"
"Path","Path"
"Please create the specified folder ""%s"" before saving the sitemap.","Please create the specified folder ""%s"" before saving the sitemap."
"Please define correct path","Please define correct path"
"Please make sure that ""%s"" is writable by web-server.","Please make sure that ""%s"" is writable by web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed."
"Priority","우선 순위"
"Products Options","상품 옵션 관리"
"Sitemap","사이트맵"
"Sitemap generate Warnings","Sitemap generate Warnings"
"Start Time","시작 시간"
"Store View","상점 뷰"
"The priority must be between 0 and 1.","The priority must be between 0 and 1."
"The sitemap ""%s"" has been generated.","The sitemap ""%s"" has been generated."
"The sitemap has been deleted.","The sitemap has been deleted."
"The sitemap has been saved.","The sitemap has been saved."
"This sitemap no longer exists.","This sitemap no longer exists."
"Unable to find a sitemap to delete.","Unable to find a sitemap to delete."
"Unable to find a sitemap to generate.","Unable to find a sitemap to generate."
"Unable to generate the sitemap.","Unable to generate the sitemap."
"Valid values range: from 0.0 to 1.0.","0.0 에서 1.0 사이를 입력하세요."
"Weekly","매주"
"Yearly","매년"
