"%s","%s"
"-- Please Select --","-- Please Select --"
"Actions","Actions"
"Add Layout Update","Add Layout Update"
"Add New Widget Instance","Add New Widget Instance"
"All","All"
"All Pages","모든 페이지"
"All Product Types","All Product Types"
"An error occurred during saving a widget: %s","An error occurred during saving a widget: %s"
"Anchor Categories","Anchor Categories"
"Apply","적용"
"Assign to Store Views","Assign to Store Views"
"Big Image","큰 이미지"
"Block Reference","Block Reference"
"CMS","CMS"
"Categories","카테고리"
"Choose...","선택..."
"Close","닫기"
"Continue","Continue"
"Default Template","기본 템플릿"
"Delete","삭제"
"Design Package/Theme","Design Package/Theme"
"Export to:","Export to:"
"Frontend Properties","Frontend Properties"
"Generic Pages","Generic Pages"
"Images","이미지"
"Insert Widget","Insert Widget"
"Insert Widget...","Insert Widget..."
"Layout Updates","Layout Updates"
"Manage Widget Instances","Manage Widget Instances"
"New Instance","New Instance"
"New Widget Instance","New Widget Instance"
"Next page","다음 페이지"
"Non-Anchor Categories","Non-Anchor Categories"
"Not Selected","Not Selected"
"Open Chooser","Open Chooser"
"Page","페이지"
"Please Select Block Reference First","Please Select Block Reference First"
"Previous page","Previous page"
"Products","상품"
"Remove Layout Update","Remove Layout Update"
"Save and Continue Edit","Save and Continue Edit"
"Select All","Select All"
"Select Visible","Select Visible"
"Settings","Settings"
"Sort Order","Sort Order"
"Sort Order of widget instances in the same block reference","Sort Order of widget instances in the same block reference"
"Specific %s","Specific %s"
"Specified Page","Specified Page"
"Template","템플릿"
"The information in this tab has been changed.","The information in this tab has been changed."
"The widget instance has been deleted.","The widget instance has been deleted."
"The widget instance has been saved.","The widget instance has been saved."
"This tab contains invalid data. Please solve the problem before saving.","This tab contains invalid data. Please solve the problem before saving."
"Thumbnail","섬네일"
"Total %d records found","Total %d records found"
"Type","Type"
"Unselect All","Unselect All"
"Unselect Visible","Unselect Visible"
"View","View"
"Widget","위젯"
"Widget ""%s""","Widget ""%s"""
"Widget ID","Widget ID"
"Widget Insertion","Widget Insertion"
"Widget Instance","Widget Instance"
"Widget Instance Title","Widget Instance Title"
"Widget Options","Widget Options"
"Widget Type","Widget Type"
"Widget Type is not specified","Widget Type is not specified"
"Widget instance is not full complete to create.","Widget instance is not full complete to create."
"Widgets","위젯"
"Wrong widget instance specified.","Wrong widget instance specified."
"items selected","items selected"
"of %s pages","of %s pages"
"per page","per page"
